iter	Passed	Remaining
0	199	199733
1	201	100586
2	205	68449
3	207	51559
4	208	41392
5	208	34613
6	211	30008
7	212	26359
8	213	23512
9	214	21232
10	215	19364
11	216	17818
12	217	16501
13	218	15372
14	219	14394
15	220	13543
16	221	12786
17	222	12112
18	222	11509
19	225	11059
20	226	10567
21	227	10117
22	228	9710
23	229	9334
24	230	8987
25	231	8665
26	232	8368
27	233	8091
28	233	7834
29	234	7597
30	235	7373
31	236	7163
32	239	7013
33	240	6831
34	241	6663
35	242	6496
36	243	6338
37	244	6189
38	245	6047
39	246	5911
40	247	5784
41	248	5661
42	249	5544
43	250	5432
44	251	5327
45	254	5272
46	255	5176
47	256	5081
48	257	4989
49	258	4902
50	258	4818
51	259	4737
52	260	4659
53	261	4583
54	262	4511
55	263	4442
56	264	4374
57	265	4308
58	266	4249
59	267	4192
60	268	4135
61	269	4080
62	270	4028
63	271	3975
64	272	3923
65	273	3872
66	274	3822
67	275	3774
68	276	3728
69	277	3682
70	278	3638
71	280	3614
72	281	3574
73	282	3533
74	283	3493
75	284	3456
76	285	3418
77	286	3381
78	286	3345
79	287	3309
80	288	3275
81	289	3242
82	290	3205
83	291	3173
84	291	3142
85	292	3111
86	295	3102
87	296	3072
88	297	3044
89	298	3016
90	299	2989
91	300	2962
92	301	2935
93	301	2910
94	302	2884
95	303	2859
96	304	2835
97	305	2811
98	306	2787
99	307	2765
100	310	2763
101	311	2742
102	312	2721
103	313	2700
104	314	2678
105	315	2658
106	316	2637
107	316	2617
108	317	2598
109	318	2578
110	319	2560
111	320	2541
112	321	2523
113	323	2515
114	324	2500
115	325	2483
116	326	2464
117	327	2447
118	328	2430
119	329	2414
120	330	2398
121	330	2381
122	331	2365
123	332	2350
124	333	2335
125	334	2320
126	335	2304
127	336	2293
128	338	2284
129	339	2272
130	340	2259
131	341	2247
132	343	2236
133	344	2226
134	345	2215
135	346	2204
136	347	2191
137	349	2180
138	351	2175
139	352	2164
140	353	2153
141	354	2140
142	355	2128
143	356	2119
144	357	2107
145	358	2096
146	359	2084
147	360	2073
148	361	2062
149	362	2052
150	363	2041
151	363	2030
152	366	2029
153	367	2019
154	368	2008
155	369	1998
156	370	1989
157	371	1979
158	372	1969
159	373	1959
160	373	1948
161	374	1938
162	375	1929
163	376	1920
164	377	1911
165	378	1902
166	381	1904
167	382	1896
168	383	1888
169	384	1879
170	385	1870
171	386	1861
172	387	1853
173	388	1844
174	389	1836
175	390	1828
176	391	1819
177	392	1811
178	393	1803
179	396	1804
180	397	1796
181	397	1788
182	398	1780
183	399	1772
184	400	1764
185	401	1757
186	402	1749
187	403	1741
188	404	1734
189	405	1727
190	406	1720
191	407	1712
192	407	1705
193	410	1705
194	411	1698
195	412	1691
196	413	1684
197	414	1677
198	415	1670
199	415	1663
200	416	1657
201	417	1650
202	418	1644
203	419	1637
204	420	1631
205	421	1624
206	422	1618
207	425	1618
208	426	1612
209	427	1606
210	427	1600
211	428	1593
212	429	1587
213	430	1581
214	431	1576
215	432	1570
216	433	1564
217	434	1557
218	435	1552
219	436	1546
220	437	1540
221	439	1539
222	440	1534
223	441	1529
224	442	1524
225	443	1519
226	444	1514
227	445	1509
228	446	1503
229	447	1498
230	448	1493
231	449	1488
232	450	1482
233	451	1477
234	452	1472
235	453	1468
236	454	1463
237	455	1457
238	456	1452
239	457	1447
240	458	1442
241	459	1438
242	460	1433
243	461	1428
244	462	1423
245	462	1418
246	463	1413
247	464	1409
248	467	1409
249	468	1405
250	469	1400
251	470	1395
252	471	1390
253	472	1387
254	473	1384
255	474	1379
256	475	1375
257	476	1370
258	477	1366
259	478	1361
260	479	1357
